	GSM881039_5_465_HG_U133_PLUS_2_	GSM881040_6_9E_HG_U133_PLUS_2_	GSM881041_4_401_HG_U133_PLUS_2_	GSM881042_7_H1_HG_U133_PLUS_2_	GSM881043_9_VF_HG_U133_PLUS_2_	GSM881044_8_MSTA_HG_U133_PLUS_2_	GSM881045_D_203_HG_U133_PLUS_2_	GSM881046_1_D201_HG_U133_PLUS_2_	GSM881047_2_D202_HG_U133_PLUS_2_
1007_s_at	10.193	9.558	10.644	10.389	10.401	10.859	8.356	9.333	9.444
1053_at	8.54	9.545	8.218	8.681	8.27	8.667	8.916	8.268	8.628
117_at	5.069	4.444	4.974	4.873	4.92	4.713	4.921	5.797	5.004
121_at	8.243	8.073	7.709	7.85	8.142	8.138	8.309	7.835	8.073
1255_g_at	8.982	6.494	7.766	6.225	6.225	6.225	4.081	3.733	3.562
1294_at	6.052	5.807	6.052	5.505	5.639	5.888	6.63	6.848	6.907
1316_at	5.408	5.449	6.159	5.765	5.698	5.194	6.032	6.094	6.04
1320_at	5.511	5.473	5.674	5.649	5.769	5.433	5.651	5.484	5.609
1405_i_at	3.232	3.389	3.372	3.398	3.378	3.05	3.603	3.628	3.515
1431_at	3.592	3.374	3.546	3.607	3.451	3.652	3.8	3.595	3.573
1438_at	5.391	5.508	5.376	5.443	5.484	5.488	5.257	5.271	5.377
1487_at	7.817	7.795	7.657	7.95	8.224	7.982	8.194	8.367	8.275
1494_f_at	5.244	5.463	5.494	5.487	5.621	5.461	5.496	5.614	5.53
1552256_a_at	6.716	6.597	7.564	7.337	7.363	7.21	5.843	6.747	6.485
1552257_a_at	8.815	9.642	8.846	9.807	9.321	8.963	8.946	8.761	8.731
1552258_at	6.031	5.728	5.819	5.773	6.051	6.326	5.867	5.861	5.88
1552261_at	3.921	3.818	3.804	3.757	3.757	3.668	3.664	3.558	3.751
1552263_at	7.496	7.69	7.467	7.608	7.643	7.549	7.886	7.775	7.649
1552264_a_at	8.345	8.437	8.167	8.321	8.281	8.288	8.707	8.383	8.244
1552266_at	3.041	3.097	3.133	2.972	3.158	3.185	3.251	3.432	3.133
1552269_at	3.32	3.094	3.118	3.613	3.32	3.307	3.512	3.32	3.64
1552271_at	5.088	5.063	4.972	5.054	5.195	5.072	5.149	5.084	5.262
1552272_a_at	5.501	5.553	5.399	5.549	5.625	5.387	5.503	5.241	5.28
1552274_at	6.07	7.791	7.547	7.104	6.533	6.516	7.423	8.875	8.38
1552275_s_at	6.463	7.357	6.938	6.883	6.122	6.945	6.938	8.208	7.667
1552276_a_at	4.957	4.832	5.07	5.091	4.981	4.937	4.937	4.755	4.888
1552277_a_at	10.998	11.196	10.786	10.793	10.957	10.809	10.885	11.056	10.795
1552278_a_at	4.859	5.131	5.001	4.946	5.223	5.351	6.293	5.966	5.697
1552279_a_at	5.621	5.609	5.478	5.436	5.68	5.893	5.735	6.055	5.653
1552280_at	3.4	3.326	3.502	3.441	3.714	3.252	3.4	3.372	3.604
1552281_at	6.317	6.201	6.183	6.181	6.259	6.035	6.139	6.223	6.201
1552283_s_at	4.098	4.851	4.19	4.645	4.55	3.989	3.417	3.536	3.492
1552286_at	6.303	5.836	6.02	5.973	6.02	5.942	6.114	6.664	6.207
1552287_s_at	7.153	7.912	7.467	7.322	7.185	7.442	7.263	6.8	6.646
1552288_at	3.291	3.115	3.444	3.455	3.615	2.95	3.288	3.254	3.532
1552289_a_at	4.22	4.05	3.627	4.251	4.126	4.085	3.691	3.901	3.834
1552291_at	6.999	8.213	7.989	8.229	7.676	7.642	8.133	8.238	7.915
1552293_at	4.459	4.373	4.384	4.818	4.591	4.355	4.369	4.646	4.519
1552295_a_at	7.502	7.084	7.523	7.356	7.509	7.709	7.681	7.549	7.62
1552296_at	4.262	4.188	4.262	4.262	4.369	4.262	4.262	4.042	4.314
1552299_at	4.32	4.211	4.251	4.38	4.32	4.369	4.496	3.838	4.32
1552301_a_at	5.711	5.248	5.803	5.281	5.463	5.942	6.779	6.105	6.294
1552302_at	5.179	5.474	6.018	5.507	5.823	4.931	6.666	5.735	5.826
1552303_a_at	6.275	6.175	6.692	6.285	6.598	6.182	6.982	6.527	6.741
1552304_at	4.755	5.302	4.444	4.717	4.766	4.427	4.879	5.099	5.214
1552306_at	5.371	6.517	4.993	6.022	5.321	5.004	6.038	5.738	6.075
1552307_a_at	6.137	6.306	5.452	5.221	5.738	6.167	6.803	6.901	6.723
1552309_a_at	10.663	10.027	10.594	10.467	11.111	11.141	9.882	9.645	10.089
1552310_at	8.66	9.143	8.718	8.262	8.459	8.721	9.034	8.809	8.874
1552311_a_at	7.024	7.176	7.167	6.997	7.106	6.865	7.156	6.987	7.035
1552312_a_at	7.398	7.351	7.186	7.45	7.656	7.074	6.87	7.325	7.428
1552314_a_at	6.199	6.316	5.69	6.22	5.885	5.885	5.706	5.602	5.693
1552315_at	3.641	3.683	3.524	3.693	3.614	3.581	3.878	3.674	3.674
1552316_a_at	3.22	3.097	3.14	3.327	3.111	3.14	3.14	3.348	3.14
1552318_at	3.478	3.704	3.444	3.535	3.64	3.535	3.163	3.535	3.449
1552319_a_at	4.173	4.15	4.15	4.284	3.983	4.15	3.892	4.239	3.935
1552320_a_at	2.931	2.713	2.827	2.866	3.01	2.866	2.866	2.866	3.031
1552321_a_at	2.827	2.763	2.872	3.374	2.872	2.926	3.101	2.872	2.872
1552322_at	2.979	2.903	3.14	2.599	2.979	3.597	3.06	2.704	2.797
1552323_s_at	4.942	4.305	5.145	4.42	4.2	5.357	4.692	4.759	4.42
1552325_at	2.713	2.738	2.713	2.763	2.727	2.494	2.713	2.78	2.713
1552326_a_at	4.009	3.751	4.128	3.964	4.009	4.226	4.875	3.998	4.009
